Date,Review Text,label,cleansing,baku,stopwords,stemming
2026-05-06 11:34:01,"enggak bisa pesen tiket, jadwal kereta juga tidak muncul. please bikin aplikasi yang simpel aja seperti yang dulu.",1,enggak bisa pesen tiket jadwal kereta juga tidak muncul please bikin aplikasi yang simpel aja seperti yang dulu,tidak bisa pesan tiket jadwal kereta juga tidak muncul tolong buat aplikasi yang sederhana saja seperti yang dulu,tidak bisa pesan tiket jadwal kereta tidak muncul tolong aplikasi sederhana,tidak bisa pesan tiket jadwal kereta tidak muncul tolong aplikasi sederhana
2026-05-06 11:25:44,pesan kereta lokal ud d ketik tujuan nya g keluar tiket nya,1,pesan kereta lokal ud d ketik tujuan nya g keluar tiket nya,pesan kereta lokal sudah di ketik tujuan nya tidak keluar tiket nya,pesan kereta lokal ketik tujuan tidak keluar tiket,pesan kereta lokal ketik tuju tidak keluar tiket
2026-05-06 09:43:23,ngapain sih verifikasi otp lama banget,1,ngapain sih verifikasi otp lama banget,kenapa sih verifikasi otp lama sekali,verifikasi otp lama,verifikasi otp lama
2026-05-06 09:33:50,"kapan aplikasinya bisa di gunakan kembali?, saya mau pesan tiket gagal terus",1,kapan aplikasinya bisa di gunakan kembali saya mau pesan tiket gagal terus,kapan aplikasinya bisa di gunakan kembali saya mau pesan tiket gagal terus,aplikasinya bisa pesan tiket gagal,aplikasi bisa pesan tiket gagal
2026-05-06 09:08:17,"Jujur untuk pengguna pembaca layar aplikasi ini setelah di update malah jadi nggak karuan. ketika kita mau memilih nama-nama kereta sekarang sudah tidak bisa terbaca semuanya, tolong untuk di perbaiki, jujur malah lebih akses versi lama ,nama nama kerertanya terbaca semuanya, tolong di buat seperti dulu ,biar akses sama pembaca layar, terima kasih.",0,jujur untuk pengguna pembaca layar aplikasi ini setelah di update malah jadi nggak karuan ketika kita mau memilih nama nama kereta sekarang sudah tidak bisa terbaca semuanya tolong untuk di perbaiki jujur malah lebih akses versi lama nama nama kerertanya terbaca semuanya tolong di buat seperti dulu biar akses sama pembaca layar terima kasih,jujur untuk pengguna pembaca layar aplikasi ini setelah di update malah jadi tidak karuan ketika kita mau memilih nama nama kereta sekarang sudah tidak bisa terbaca semuanya tolong untuk di perbaiki jujur malah lebih akses versi lama nama nama keretanya terbaca semuanya tolong di untuk seperti dulu agar akses sama pembaca layar terima kasih,jujur pengguna pembaca layar aplikasi update tidak karuan memilih nama nama kereta tidak bisa terbaca tolong perbaiki jujur akses versi lama nama nama keretanya terbaca tolong akses pembaca layar terima kasih,jujur guna baca layar aplikasi update tidak karuan pilih nama nama kereta tidak bisa baca tolong baik jujur akses versi lama nama nama kereta baca tolong akses baca layar terima kasih
2026-05-06 08:23:02,Knpa ya GK bisa d buka gimna cara. Buka nyak,1,knpa ya gk bisa d buka gimna cara buka nyak,kenapa iya tidak bisa di buka bagaimana cara buka nyak,iya tidak bisa buka buka nyak,iya tidak bisa buka buka nyak
2026-05-06 08:06:34,sering crash di hp Nokia 5.3 padahal aplikasi lain berjalan normal,1,sering crash di hp nokia padahal aplikasi lain berjalan normal,sering crash di handphone nokia padahal aplikasi lain berjalan normal,crash handphone nokia aplikasi berjalan normal,crash handphone nokia aplikasi jalan normal
2026-05-06 06:56:28,bantuan cepat merespon,0,bantuan cepat merespon,bantuan cepat merespon,bantuan cepat merespon,bantu cepat merespon
2026-05-06 06:33:39,luar biasa pelayanan KAI,0,luar biasa pelayanan kai,luar biasa pelayanan kai,pelayanan kai,layan kai
2026-05-06 05:54:44,"Sering trouble, tolong diperbaiki lagi",1,sering trouble tolong diperbaiki lagi,sering error tolong diperbaiki lagi,error tolong diperbaiki,error tolong baik
2026-05-06 05:32:00,Kecewa banget... saat booking tiket hanya dikasih waktu 15 menit tapi isinya loading trus sampai habis waktunya. Metode pembayaran sangat terbatas. Alhasil pembelian tiketnya lewat traveloka. lebih mudah dan cepat tanpa waktu antrian.,1,kecewa banget saat booking tiket hanya dikasih waktu menit tapi isinya loading trus sampai habis waktunya metode pembayaran sangat terbatas alhasil pembelian tiketnya lewat traveloka lebih mudah dan cepat tanpa waktu antrian,kecewa sekali saat booking tiket hanya diberi waktu menit tapi isinya loading terus sampai habis waktunya metode pembayaran sangat terbatas akhirnya pembelian tiketnya lewat traveloka lebih mudah dan cepat tanpa waktu antrian,kecewa booking tiket menit isinya loading habis metode pembayaran terbatas pembelian tiketnya traveloka mudah cepat antrian,kecewa booking tiket menit isi loading habis metode bayar batas beli tiket traveloka mudah cepat antri
2026-05-06 05:01:14,setelah update malah semakin buruk,0,setelah update malah semakin buruk,setelah update malah semakin buruk,update buruk,update buruk
2026-05-06 04:54:37,semenjak pembaharuan banyak bug mohon di perbaiki ya,1,semenjak pembaharuan banyak bug mohon di perbaiki ya,semenjak update banyak bug mohon di perbaiki iya,semenjak update bug mohon perbaiki iya,semenjak update bug mohon baik iya
2026-05-06 04:48:24,"susah bangey mau bayar,kenapa yaa ribett amat",0,susah bangey mau bayar kenapa yaa ribett amat,susah sangat mau bayar kenapa ya rumit amat,susah bayar ya rumit,susah bayar ya rumit
2026-05-06 04:39:39,ini knp pembayaran lewat mini market ga ada? service digitalnya kok menurun sih?,0,ini knp pembayaran lewat mini market ga ada service digitalnya kok menurun sih,ini kenapa pembayaran lewat mini market tidak ada service digitalnya mengapa menurun sih,pembayaran mini market tidak service digitalnya menurun,bayar mini market tidak service digital turun
2026-05-06 04:35:47,aplokasi buruk eror !!,1,aplokasi buruk eror,aplikasi buruk error,aplikasi buruk error,aplikasi buruk error
2026-05-06 04:29:59,"error jirr gabisa buka jadwal kereta commuter, buruan dibenerin skrg, butuh urgent hari ini nii",1,error jirr gabisa buka jadwal kereta commuter buruan dibenerin skrg butuh urgent hari ini nii,error jelek tidak bisa buka jadwal kereta komuter segera dibenerin sekarang butuh urgent hari ini nii,error jelek tidak bisa buka jadwal kereta komuter dibenerin butuh urgent nii,error jelek tidak bisa buka jadwal kereta komuter dibenerin butuh urgent nii
2026-05-06 04:27:36,sulit. pesen tiket untuk rute dilampung sulit. mau pesen tulisannya nunggu antri lah. maintancelah. muter muter lah. pembayaran kadang gak bisa. sering gagal pesenan tp mau pesen lagi katanya sudah dipesan. kadang di aplikasi penuh. antrian. pesen gak bisa. tp waktu naik di atas kreta banyak kursi yg kosong. harus 1 minggu dulu baru pesen tiketnya dapet. kan KAI ini besar. ngapalah aplikasinya gak dbuat yg bagus skalian. biar mudah pesen tiketnya.,1,sulit pesen tiket untuk rute dilampung sulit mau pesen tulisannya nunggu antri lah maintancelah muter muter lah pembayaran kadang gak bisa sering gagal pesenan tp mau pesen lagi katanya sudah dipesan kadang di aplikasi penuh antrian pesen gak bisa tp waktu naik di atas kreta banyak kursi yg kosong harus minggu dulu baru pesen tiketnya dapet kan kai ini besar ngapalah aplikasinya gak dbuat yg bagus skalian biar mudah pesen tiketnya,sulit pesan tiket untuk rute dilampung sulit mau pesan tulisannya nunggu antri lah maintenance muter muter lah pembayaran kadang tidak bisa sering gagal pesenan tapi mau pesan lagi katanya sudah dipesan kadang di aplikasi penuh antrian pesan tidak bisa tapi waktu naik di atas kereta banyak kursi yang kosong harus minggu dulu baru pesan tiketnya dapat kan kai ini besar ngapalah aplikasinya tidak dibuat yang bagus sekalian agar mudah pesan tiketnya,sulit pesan tiket rute dilampung sulit pesan tulisannya nunggu antri maintenance muter muter pembayaran kadang tidak bisa gagal pesenan pesan dipesan kadang aplikasi penuh antrian pesan tidak bisa kereta kursi kosong minggu baru pesan tiketnya kai ngapalah aplikasinya tidak bagus mudah pesan tiketnya,sulit pesan tiket rute lampung sulit pesan tulis nunggu antri maintenance muter muter bayar kadang tidak bisa gagal sen pesan pes kadang aplikasi penuh antri pesan tidak bisa kereta kursi kosong minggu baru pesan tiket kai ngapalah aplikasi tidak bagus mudah pesan tiket
