tidak baku,baku
afailable,available
aja,saja
ajh,saja
akhir2,akhir-akhir
akhir²,akhir-akhir
amburadul,rusak
apk,aplikasi
apknya,aplikasinya
apl,aplikasi
apps,aplikasi
bagusan,lebih bagus
banget,sekali
bangett,sekali
bangey,sekali
bangke,sial
batalin,batalkan
bego,bodoh
belas,sama sekali
berjam²,berjam-jam
best,bagus
bgt,sekali
bgttt,sekali
bgtu,begitu
bkin,bikin
blm,belum
blog,bodoh
bnyak,banyak
bnyk,banyak
bobrok,rusak
bocil,anak kecil
boking,booking
bosok,busuk
bug,bug
buggg,bug
buh,bug
byk,banyak
campah,sampah
cm,cuma
commuter,komuter
connecting train,kereta sambungan
cuman,cuma
d,di
dbuat,dibuat
deket,dekat
dibatalian,dibatalkan
didaftarin,dibuat
dirubah,diubah
donlod,download
donlowd,download
dontol,buruk
enggak,tidak
eror,error
erorr,error
erorrr,error
error,error
ewalet,e-wallet
failed request,gagal
g,tidak
g bs,tidak bisa
ga,tidak
gabisa,tidak bisa
gajelas,tidak jelas
geblek,bodoh
gimna,bagaimana
gk,tidak
gmna,bagaimana
gni,begini
gob***,bodoh
gonta ganti,gonta-ganti
good,bagus
gue,saya
gw,saya
hiling,liburan
invailid,tidak valid
invalid,tidak valid
invalid server response,server error
jam 00.00,tengah malam
jastip,jasa titip
jd,jadi
joss,bagus
judes²,galak
kasproo,kaspro
kemplung,rusak
kenceng,cepat
kerertanya,keretanya
kmt,kartu multi trip
knp,kenapa
knpa,kenapa
kreta,kereta
krl,komuter
lelet,lambat
leloi,lambat
lemot,lambat
letoiiiii,lambat
lifetracking,live tracking
loadiiing,loading
loading,loading
loding,loading
lodingg,loading
long week end,long weekend
lu,kamu
mantabb,mantap
mantul,mantap
mastiin,memastikan
mbaking,m-banking
mosok,masa
muantab,mantap
mumet,pusing
munyer2,berputar-putar
ngaret,terlambat
ngeblank,kosong
ngebleng,kosong
ngeleg,lag
ngelegg,lag
ngelek,lag
ngene,begini
ngga,tidak
ny,nya
orng,orang
parahhh,parah
pea,bodoh
pesen,pesan
piye,bagaimana
please,tolong
plis,tolong
pnp,penumpang
psen,pesan
ptaktis,praktis
qris,qris
requests are too frequent,akses padat
retur,refund
rudet,ruwet
sampe,sampai
scrol,scroll
se abad,lama sekali
seat not available,kursi penuh
server no respon,server error
siatam,sistem
skalian,sekaligus
skrang,sekarang
skrg,sekarang
sllu,selalu
smpe,sampai
soak,rusak
sold,habis
sold out,habis
spay,shopeepay
srg,sering
sring,sering
sy,saya
t4i,buruk
tbtb,tiba-tiba
tetiba,tiba-tiba
tiap,setiap
"tiba""",tiba-tiba
tllol,tolol
tlol,tolol
top up,isi saldo
top-up,isi saldo
tp,tetapi
tpi,tetapi
treking,tracking
trouble,gangguan
ttep,tetap
ttp,tetap
ud,sudah
uda,sudah
udh,sudah
updet,update
upgrade,pembaruan
utak utek,utak-atik
utk,untuk
verivikasi,verifikasi
war,rebutan
whoosh,wus
yg,yang
maintance,maintenance
maintancelah,maintenance
eror,error
buggg,bug
nge-bug,bug
ngebug,bug
ngelek,lag
trouble,error
down,error
blank,error
ngeblank,error
loding,loading
muter muter,loading
muter2,loading
donlod,download
apk,aplikasi
appnya,aplikasi
eror,error
erorr,error
errorlag,error lag
aplokasi,aplikasi
apk,aplikasi
apl,aplikasi
app,aplikasi
appnya,aplikasi
ngebug,bug
barocde,barcode
diunstal,uninstall
didownld,download
mantenance,maintenance
kompetibel,kompatibel
log in,login
acc,terima
ngeleg,lag
ngelegnya,lag
"muter""",loading
"muter""",loading
nge-stuck,loading
stuck,loading
not found,error
invalid server respon,error
time out,error
qris,qris
barcode,barcode
otpnya,otp
baccic,basic
plenger,bodoh
bapuk,jelek
bloon,bodoh
busuk,buruk
telek,jelek
silit,jelek
jbte,jelek
kocak,aneh
dungu,bodoh
bobrok,rusak
kaga,tidak
ngeblank,error
blank,error
stuck,loading
bugnya,bug
erornya,error
kalpay,kaipay
ngebug,bug
load,loading
loadingnya,loading
maintenance,maintenance
ngbelnk,error
time out,error
failed,error
ngelag,lag
up date,update
pemberharuan,update
pembaharuan,update
redownload,download ulang
kompatible,kompatibel
device,handphone
spay,shopeepay
terkick,keluar sendiri
ubdate,update
updet,update
abdet,update
updatan,update
unistal,uninstall
bukingannya,booking
buking,booking
pesen,pesan
